Geneid	SortedSized.120minlightexposure.MERGED.single.bam	SortedSized.15minlightexposure.MERGED.single.bam	SortedSized.16hVMMtoxylanfor4hours.MERGED.single.bam	SortedSized.240minlightexposure.MERGED.single.bam	SortedSized.3-dpfperithecia.MERGED.paired.bam	SortedSized.4-dpfperithecia.MERGED.paired.bam	SortedSized.5-dpfperithecia.MERGED.paired.bam	SortedSized.5hrgerminationin10mMPihighinorganicphosphate.MERGED.paired.bam	SortedSized.5hrgerminationin10uMPilowinorganicphosphate.MERGED.paired.bam	SortedSized.6-dpfperithecia.MERGED.paired.bam	SortedSized.60minlightexposure.MERGED.single.bam	SortedSized.Avicel1h.MERGED.single.bam	SortedSized.Avicel4h.MERGED.single.bam	SortedSized.Bird120minpolargrowth.MERGED.paired.bam	SortedSized.Bird15minfreshconidia.MERGED.paired.bam	SortedSized.Bird240mindoublingoflongaxis.MERGED.paired.bam	SortedSized.Bird360minfirsthyphalbranching.MERGED.paired.bam	SortedSized.Darkonly.MERGED.single.bam	SortedSized.GrownwithoutanyIron.MERGED.single.bam	SortedSized.MapleSap120minpolargrowth.MERGED.paired.bam	SortedSized.MapleSap15minfreshconidia.MERGED.paired.bam	SortedSized.MapleSap240mindoublingoflongaxis.MERGED.paired.bam	SortedSized.MapleSap360minfirsthyphalbranching.MERGED.paired.bam	SortedSized.MyceliumWtAvicel.MERGED.single.bam	SortedSized.MyceliumWtNoCarbon.MERGED.single.bam	SortedSized.NoCarbon4h.MERGED.single.bam	SortedSized.Nocarbon4h.MERGED.single.bam	SortedSized.SRR1025975.growninconstantlightfor6hours-txwithDMSOfor1hr.rep1.single.bam	SortedSized.SRR1025976.growninconstantlightfor6hours-txwithstaurosporinefor1hr.rep1.single.bam	SortedSized.SRR1562549.myceliumgrownonBarleyStraw30hrs.rep1.single.bam	SortedSized.SRR1562550.myceliumgrownonCornStraw30hrs.rep1.single.bam	SortedSized.SRR1562551.myceliumgrownonRiceStraw30hrs.rep1.single.bam	SortedSized.SRR1562552.myceliumgrownonSoybeanStraw30hrs.rep1.single.bam	SortedSized.SRR1562553.myceliumgrownonWheatStraw30hrs.rep1.single.bam	SortedSized.SRR1562554.myceliumgrownonsucrose16hrs.rep1.single.bam	SortedSized.SRR1593998.growninVMMavicel36hourstxwithH2Onodrugfor1hour.rep1.single.bam	SortedSized.SRR1594000.growninVMMAvicelfor36hourstxwithDTT5mMfor1hour.rep1.single.bam	SortedSized.SRR1594003.growninVMM16hours-shifttoAvicelfor4hours-txwithH2Onodrugfor1hour.rep1.single.bam	SortedSized.SRR1594004.growninVMM16hours-shifttoAvicelfor4hours-txwithDTT5mMfor1hour.rep1.single.bam	SortedSized.SRR1594011.growninVMMaviceltx36hourswithH2Onodrugfor1hour.rep1.paired.bam	SortedSized.SRR1594012.growninVMMavicel36hourstxwithdithiothreitolDTT5mMfor1hour.rep1.paired.bam	SortedSized.SRR2952639.VMM8h.rep1.single.bam	SortedSized.SRR2952640.VMM16h.rep1.single.bam	SortedSized.SRR2952641.VMM4h.rep1.single.bam	SortedSized.SRR2952642.VMMwithchitosan4h.rep1.single.bam	SortedSized.SRR2952643.VMMwithchitosan8h.rep1.single.bam	SortedSized.SRR2952644.VMMwithchitosan16h.rep1.single.bam	SortedSized.SRR400646.Avicel2h.rep1.single.bam	SortedSized.SRR400647.Avicel30min.rep1.single.bam	SortedSized.SRR400651.Nocarbon1h.rep3.single.bam	SortedSized.SRR447473.Cellobiose4h.rep1.single.bam	SortedSized.SRR585661.Perithecia0hrN6primersMTP.rep1.single.bam	SortedSized.SRR585662.Perithecia2hrN6primersMTP.rep1.single.bam	SortedSized.SRR585663.Perithecia24hrN6primersMTP.rep1.single.bam	SortedSized.SRR585664.Perithecia48hrN6primersMTP.rep1.single.bam	SortedSized.SRR585665.Perithecia72hrN6primersMTP.rep1.single.bam	SortedSized.SRR585666.Perithecia96hrN6primersMTP.rep1.single.bam	SortedSized.SRR585667.Perithecia120hrN6primersMTP.rep1.single.bam	SortedSized.SRR585668.Perithecia144hrN6primersMTP.rep1.single.bam	SortedSized.SRR585669.Perithecia0hrN6primersonly.rep1.single.bam	SortedSized.SRR585670.Perithecia2hrN6primersonly.rep1.single.bam	SortedSized.SRR585671.Perithecia24hrN6primersonly.rep1.single.bam	SortedSized.SRR585672.Perithecia48hrN6primersonly.rep1.single.bam	SortedSized.SRR585673.Perithecia72hrN6primersonly.rep1.single.bam	SortedSized.SRR585674.Perithecia96hrN6primersonly.rep1.single.bam	SortedSized.SRR585675.Perithecia120hrN6primersonly.rep1.single.bam	SortedSized.SRR585676.Perithecia144hrN6primersonly.rep1.single.bam	SortedSized.SRR627939.WTXylan4h.rep1.single.bam	SortedSized.SRR7082724.growninconstantlight6hoursculturesputin11hourlightdarkcycles-thentoconstantdarkfor0hours.rep1.single.bam	SortedSized.SRR7082725.growninconstantlight6hoursculturesputin11hourlightdarkcycles-thentoconstantdarkfor2hours.rep1.single.bam	SortedSized.SRR7082726.growninconstantlight6hoursculturesputin11hourlightdarkcycles-thentoconstantdarkfor4hours.rep1.single.bam	SortedSized.SRR7082727.growninconstantlight6hoursculturesputin11hourlightdarkcycles-thentoconstantdarkfor6hours.rep1.single.bam	SortedSized.SRR7082728.growninconstantlight6hoursculturesputin11hourlightdarkcycles-thentoconstantdarkfor8hours.rep1.single.bam	SortedSized.SRR7082729.growninconstantlight6hoursculturesputin11hourlightdarkcycles-thentoconstantdarkfor10hours.rep1.single.bam	SortedSized.SRR7082730.growninconstantlight6hoursculturesputin11hourlightdarkcycles-thentoconstantdarkfor12hours.rep1.single.bam	SortedSized.SRR7082731.growninconstantlight6hoursculturesputin11hourlightdarkcycles-thentoconstantdarkfor14hours.rep1.single.bam	SortedSized.SRR7082732.growninconstantlight6hoursculturesputin11hourlightdarkcycles-thentoconstantdarkfor16hours.rep1.single.bam	SortedSized.SRR7082733.growninconstantlight6hoursculturesputin11hourlightdarkcycles-thentoconstantdarkfor18hours.rep1.single.bam	SortedSized.SRR7082734.growninconstantlight6hoursculturesputin11hourlightdarkcycles-thentoconstantdarkfor20hours.rep1.single.bam	SortedSized.SRR7082735.growninconstantlight6hoursculturesputin11hourlightdarkcycles-thentoconstantdarkfor22hours.rep1.single.bam	SortedSized.Sucrose4h.MERGED.single.bam	SortedSized.WT1BSANoVogelsNoCarbon.MERGED.single.bam	SortedSized.WT1groundmiscanthusNoVogels.MERGED.single.bam	SortedSized.WT2pectin.MERGED.single.bam	SortedSized.WT2xylan.MERGED.single.bam	SortedSized.WTAvicel4h.MERGED.single.bam	SortedSized.WTNoCarbon4h.MERGED.single.bam	SortedSized.WTOrangePeelPowder4h.MERGED.single.bam	SortedSized.WTPectin4h.MERGED.single.bam	SortedSized.WTSucrose4h.MERGED.single.bam	SortedSized.avicel4h.MERGED.single.bam	SortedSized.growninconstantlightfor24hours-transferredtoconstantdarkfor24hours-priortoharvestingexposedto30minofconstantlight.MERGED.paired.bam	SortedSized.growninconstantlightfor24hours-transferredtoconstantdarkfor24hours.MERGED.paired.bam	SortedSized.standardconditions.MERGED.single.bam	SortedSized.sucrose1h.MERGED.single.bam	SortedSized.sucrose4h.MERGED.single.bam	SortedSized.vegetativehypha.MERGED.paired.bam	
gene0	7020	3444	1321	4484	6725	6420	4365	150	89	7820	8448	1916	2139	387	486	843	558	2535	462	796	547	690	1261	2139	9518	9518	9518	15	82	115	212	139	82	209	75	228	118	295	96	67	57	861	6290	1747	1955	1004	616	298	203	1026	427	299	229	375	649	634	1112	1123	1798	560	472	13	1049	1064	35	2139	76	118	664	392	535	409	325	418	249	199	226	184	391	321	292	1512	5032	682	881	2139	9518	4569	3534	292	2139	146	190	1135	506	292	476
gene1	1499	997	986	2035	706	683	525	787	755	1335	1553	1774	1983	4451	5911	6450	5196	1416	475	3877	4973	2734	2626	1983	5073	5073	5073	419	436	775	705	631	732	725	881	1008	360	277	75	249	101	6809	3825	9185	6207	7881	6126	135	188	493	1470	270	269	320	196	333	304	491	597	371	586	12	256	529	23	1088	36	395	239	127	260	197	188	251	167	95	92	66	87	154	3861	2640	952	978	1165	1983	5073	5028	5124	3861	1983	201	249	253	10750	3861	1723
gene2	3020	2194	1591	4756	4536	2505	1877	2140	2103	6458	969	130	1059	83128	115422	51637	28228	3326	1363	38775	73709	15182	7862	1059	2563	2563	2563	1728	499	2133	795	1452	2345	1603	2139	622	509	197	47	317	207	21155	34606	47471	26197	47688	42115	34	9	8	4669	1194	1794	1009	1349	964	1402	1691	1132	2042	3103	60	1667	1314	93	2836	115	928	381	251	441	307	238	343	162	108	211	151	182	292	15776	9260	1306	1151	1262	1059	2563	11064	9391	15776	1059	693	813	558	49830	15776	4530
gene3	5	4	3	7	29	25	16	8	12	31	6	32	19	41	35	64	65	3	2	41	41	62	83	19	49	49	49	0	1	5	2	6	0	4	3	1	4	1	1	0	0	35	70	40	207	119	50	1	8	9	5	8	2	1	2	7	7	6	3	11	3	2	1	8	0	7	0	2	3	0	4	0	3	2	3	1	2	0	0	0	0	40	20	6	11	19	49	33	83	0	19	6	8	2	16	0	4
gene4	14214	8782	1368	19556	22666	9125	2839	44	25	7736	8650	1012	2646	85	72	194	174	9657	1873	187	78	278	549	2646	2237	2237	2237	12	26	1177	751	1230	172	1074	93	2481	2896	124	695	2322	2971	1881	85985	3778	2874	1260	71	48	55	39	731	5016	17094	6877	4047	8869	8553	6117	1737	5961	25985	272	4337	11471	449	8060	84	574	1482	1018	1801	1221	1427	2499	844	617	545	545	1406	1476	257	413	1885	213	2360	2646	2237	3882	3581	257	2646	161	217	479	1240	257	574
gene5	5	4	62	9	11	23	16	15	11	43	9	177	117	36	38	48	48	11	1	51	66	28	53	117	380	380	380	3	6	10	15	7	7	4	15	3	3	14	16	3	0	34	44	100	247	65	13	11	17	25	38	11	8	9	1	7	11	14	7	7	20	0	1	24	1	46	2	21	1	0	3	0	1	0	1	0	2	0	0	0	39	76	28	44	88	117	380	142	230	39	117	7	8	1	57	39	7
gene6	23923	14329	3811	26409	32710	14845	4492	283	167	11465	12588	3446	9334	723	490	1121	961	16851	5977	905	635	985	1612	9334	10564	10564	10564	52	79	3282	1422	4127	414	3005	396	7456	5919	341	1781	5954	5725	3943	141622	10294	6750	3434	433	162	248	401	2751	6295	24161	10069	7200	11291	15890	10310	2776	10109	39255	375	8720	17214	793	16388	163	1859	2068	1541	2538	1896	2154	3990	1185	871	893	770	1857	2316	1649	1884	6889	918	6775	9334	10564	9334	9125	1649	9334	487	655	1603	4312	1649	1792
gene7	4	3	12	1	70	109	105	2	3	263	2	275	290	0	2	0	0	5	3	5	0	1	10	290	755	755	755	0	0	1	3	1	2	4	0	13	6	46	6	5	1	3	5	1	30	10	5	65	21	110	4	20	6	8	1	62	66	82	104	16	13	0	7	94	3	129	8	7	0	0	0	0	0	0	0	0	0	0	0	2	1	42	84	3	36	290	755	47	77	1	290	4	4	1	1	1	0
gene8	0	1	0	2	13	35	12	1	1	20	0	0	0	1	1	0	0	0	1	4	2	3	6	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	2	1	9	0	0	0	0	4	2	0	0	65	112	43	24	0	3	0	0	149	3	94	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	1
gene9	98	96	547	348	822	2281	669	46453	72642	1048	165	490	511	957	641	4247	3387	564	239	13214	2209	23682	32081	511	2178	2178	2178	100	54	37	33	22	28	16	1770	19	95	181	151	23	12	5972	35315	5011	1839	1191	3057	76	201	249	882	2900	4298	1865	1791	2903	3968	3290	1685	5054	9813	43	2215	4689	153	6401	75	318	117	60	186	218	147	117	282	244	148	66	108	231	3221	99	1745	115	1109	511	2178	436	665	3221	511	37	64	358	2868	3221	288
gene10	393	362	1051	579	305	869	292	1279	1376	702	300	2219	4204	4959	10964	1619	871	917	669	2798	5707	3081	4037	4204	12183	12183	12183	38	57	470	652	808	304	519	571	726	1293	972	1170	391	453	1118	3686	1555	14543	3585	962	277	491	395	1247	1482	1380	730	331	864	1058	1501	1041	2641	2668	25	491	1365	60	2210	86	508	130	73	129	118	99	184	121	93	72	38	78	111	1170	1393	697	990	1556	4204	12183	8546	13488	1170	4204	283	356	207	1917	1170	1326
gene11	10114	5442	2376	9835	245	231	174	7566	8831	598	7418	10077	2268	39135	56696	25571	18032	8117	913	24138	43054	15277	12170	2268	6735	6735	6735	1218	948	3494	1530	2904	4885	2824	2456	3233	4758	516	480	739	798	23621	11823	17622	9178	20368	35256	818	2309	4492	4573	385	724	410	312	288	227	227	177	568	1331	4	454	404	6	349	5	1200	2106	1039	1828	1120	1269	1753	1439	941	731	589	1020	1224	13652	5528	2223	4667	4286	2268	6735	7073	10250	13652	2268	1567	1950	423	11223	13652	4796
gene12	1715	588	1231	2020	3811	2158	1046	1813	1813	2533	1004	1515	2022	2309	2527	3040	2814	1076	388	2143	2087	2403	4626	2022	6848	6848	6848	222	117	611	467	562	918	574	605	658	153	203	12	170	29	3247	4262	5435	2872	3629	10872	140	353	246	1467	314	430	426	552	956	1141	1005	817	408	656	12	633	1150	58	1464	32	506	349	180	364	320	245	418	230	151	144	173	134	275	2889	3153	2387	1061	2012	2022	6848	8278	7455	2889	2022	205	252	420	2750	2889	1878
gene13	158	70	115	222	161	285	7890	1200	866	21815	103	350	265	185	241	329	272	83	54	299	513	225	237	265	1445	1445	1445	7	14	18	28	10	26	28	15	29	62	41	37	15	115	165	1825	200	591	720	5075	178	67	309	105	176	52	66	180	137	147	210	2290	160	136	3	313	309	14	466	136	10	102	50	99	85	56	104	57	40	32	23	56	75	95	262	256	347	121	265	1445	508	374	95	265	139	156	134	110	95	269533
gene14	2156	651	62	2206	28	233	330	30008	16732	884	1978	388	154	1707	1790	1696	1097	564	128	641	3771	574	337	154	595	595	595	172	41	31	28	17	26	25	26	18	33	10	11	14	18	577	607	452	3035	3130	4968	98	153	194	113	117	62	53	54	43	41	233	423	128	103	2	96	80	5	624	15	12	43	19	42	28	22	27	23	13	19	17	24	48	230	61	72	168	45	154	595	174	321	230	154	61	76	26	296	230	20905
