Geneid	Length
gene0	1650
gene1	2940
gene2	4102
gene3	474
gene4	2100
gene5	622
gene6	4066
gene7	1683
gene8	843
gene9	2688
gene10	3537
gene11	1405
gene12	3006
gene13	2005
gene14	788
gene15	1047
gene16	4255
gene17	2029
gene18	3627
gene19	933
gene20	2025
gene21	1192
gene22	3447
gene23	1638
gene24	5323
gene25	1170
gene26	1869
gene27	294
gene28	2154
gene29	2333
gene30	3775
gene31	4849
gene32	2654
gene33	2390
gene34	1616
gene35	2941
gene36	1459
gene37	1925
gene38	2472
gene39	1285
gene40	88
gene41	2872
gene42	1629
gene43	753
gene44	2346
gene45	2169
gene46	1065
gene47	651
gene48	746
gene49	315
gene50	510
gene51	303
gene52	949
gene53	1056
gene54	996
gene55	417
gene56	1523
gene57	213
gene58	945
gene59	1164
gene60	1243
gene61	1658
gene62	2093
gene63	762
gene64	1412
gene65	892
gene66	2094
gene67	549
gene68	2720
gene69	1037
gene70	720
gene71	529
gene72	1869
gene73	108
gene74	107
gene75	1368
gene76	1353
gene77	813
gene78	1407
gene79	1272
gene80	1377
gene81	3012
gene82	1290
gene83	1664
gene84	835
gene85	2016
gene86	3567
gene87	1431
gene88	2267
gene89	4156
gene90	2984
gene91	1848
gene92	1264
gene93	4534
gene94	465
gene95	1421
gene96	1623
gene97	2065
gene98	483
gene99	1212
gene100	2954
gene101	2509
gene102	1343
gene103	3556
gene104	98
gene105	1245
gene106	1218
gene107	1080
gene108	4200
gene109	1390
gene110	5387
gene111	1972
gene112	80
gene113	1357
gene114	1879
gene115	3937
gene116	2125
gene117	4456
gene118	822
gene119	72
gene120	2613
gene121	841
gene122	836
gene123	4587
gene124	2658
gene125	2029
gene126	4353
gene127	1332
gene128	2514
gene129	2433
gene130	4510
gene131	2128
gene132	929
gene133	1471
gene134	4647
gene135	2027
gene136	1455
gene137	2563
gene138	2140
gene139	1463
gene140	2419
gene141	1477
gene142	2681
gene143	567
gene144	2847
gene145	1971
gene146	1902
gene147	1305
gene148	2023
gene149	2384
gene150	2068
gene151	1855
gene152	2253
gene153	1625
gene154	1803
gene155	2315
gene156	1044
gene157	726
gene158	1359
gene159	3025
gene160	3124
gene161	2451
gene162	6034
gene163	2346
gene164	924
gene165	3317
gene166	866
gene167	2924
gene168	1771
gene169	1520
gene170	2061
gene171	1663
gene172	4074
gene173	99
gene174	2041
gene175	2323
gene176	753
gene177	1560
gene178	360
gene179	1598
gene180	2767
gene181	1954
gene182	3702
gene183	4451
gene184	951
gene185	4891
gene186	2289
gene187	2180
gene188	3618
gene189	1429
gene190	333
gene191	1477
gene192	1182
gene193	915
gene194	2276
gene195	1232
gene196	913
gene197	5579
gene198	297
gene199	705
gene200	279
gene201	360
gene202	522
gene203	2471
gene204	1538
gene205	3539
gene206	2152
gene207	1112
gene208	2161
gene209	2226
gene210	2107
gene211	2136
gene212	1292
gene213	1635
gene214	762
gene215	3573
gene216	72
gene217	2016
gene218	1304
gene219	1493
gene220	2741
gene221	2285
gene222	1798
gene223	8580
gene224	525
gene225	2183
gene226	1048
gene227	5723
gene228	240
gene229	2948
gene230	1988
gene231	1289
gene232	2619
gene233	4917
gene234	1338
gene235	1501
gene236	1701
gene237	92
gene238	922
gene239	3308
gene240	71
gene241	935
gene242	1811
gene243	4088
gene244	95
gene245	4411
gene246	684
gene247	2667
gene248	1257
gene249	1645
gene250	2033
gene251	612
gene252	3585
gene253	2359
gene254	1485
gene255	3363
gene256	2687
gene257	1666
gene258	1855
gene259	2880
gene260	1290
gene261	902
gene262	1653
gene263	765
gene264	1012
gene265	2291
gene266	3441
gene267	2588
gene268	2536
gene269	1252
gene270	3094
gene271	930
gene272	2341
gene273	1812
gene274	318
gene275	3008
gene276	348
gene277	192
gene278	2291
gene279	3131
gene280	2859
gene281	2848
gene282	2363
gene283	3247
gene284	1129
gene285	888
gene286	6058
gene287	3043
gene288	462
gene289	1477
gene290	2045
gene291	1643
gene292	1844
gene293	1569
gene294	82
gene295	1997
gene296	2706
gene297	3978
gene298	2842
gene299	5406
gene300	3523
gene301	1840
gene302	1269
gene303	1342
gene304	3936
gene305	4274
gene306	1571
gene307	1608
gene308	6051
gene309	4373
gene310	3243
gene311	2379
gene312	1149
gene313	2280
gene314	1174
gene315	1143
gene316	1769
gene317	6564
gene318	877
gene319	998
gene320	792
gene321	3302
gene322	2386
gene323	1383
gene324	1537
gene325	1629
gene326	1626
gene327	2293
gene328	1544
gene329	963
gene330	3847
gene331	2861
gene332	3992
gene333	2484
gene334	456
gene335	2921
gene336	1395
gene337	2444
gene338	72
gene339	2922
gene340	435
gene341	2292
gene342	1316
gene343	8871
gene344	5056
gene345	1113
gene346	246
gene347	270
gene348	1018
gene349	1527
gene350	3405
gene351	3030
gene352	2211
gene353	2230
gene354	3089
gene355	1548
gene356	1029
gene357	2803
gene358	2447
gene359	3872
gene360	6758
gene361	2168
gene362	2099
gene363	2629
gene364	3637
gene365	1404
gene366	3226
gene367	870
gene368	1130
gene369	2407
gene370	2604
gene371	2086
gene372	5650
gene373	2458
gene374	1676
gene375	1994
gene376	4530
gene377	7099
gene378	2427
gene379	4858
gene380	93
gene381	5457
gene382	5101
gene383	2983
gene384	2162
gene385	1884
gene386	113
gene387	2000
gene388	1854
gene389	1830
gene390	2617
gene391	1052
gene392	1164
gene393	71
gene394	7361
gene395	1783
gene396	3136
gene397	2714
gene398	2982
gene399	3013
gene400	1738
gene401	1002
gene402	1656
gene403	1359
gene404	2968
gene405	2022
gene406	1902
gene407	2198
gene408	2818
gene409	567
gene410	3802
gene411	2002
gene412	1134
gene413	1794
gene414	983
gene415	3726
gene416	1641
gene417	1344
gene418	3524
gene419	4162
gene420	3253
gene421	4105
gene422	408
gene423	797
gene424	3623
gene425	1875
gene426	2065
gene427	2724
gene428	3524
gene429	1520
gene430	522
gene431	2583
gene432	3364
gene433	2862
gene434	956
gene435	3643
gene436	1851
gene437	1897
gene438	2497
gene439	3357
gene440	3084
gene441	2492
gene442	1522
gene443	525
gene444	1203
gene445	2600
gene446	2577
gene447	4100
gene448	1733
gene449	1924
gene450	1075
gene451	2822
gene452	1045
gene453	3026
gene454	3047
gene455	3874
gene456	918
gene457	1600
gene458	1732
gene459	5021
gene460	1868
gene461	2313
gene462	1370
gene463	2155
gene464	3026
gene465	1583
gene466	1107
gene467	3814
gene468	3973
gene469	3108
gene470	1262
gene471	2587
gene472	1113
gene473	1107
gene474	1444
gene475	1066
gene476	1460
gene477	4136
gene478	1931
gene479	73
gene480	1674
gene481	7720
gene482	6036
gene483	1483
gene484	1243
gene485	1621
gene486	4584
gene487	285
gene488	1940
gene489	3095
gene490	324
gene491	1008
gene492	4153
gene493	4111
gene494	3903
gene495	793
gene496	3617
gene497	1204
gene498	2091
gene499	1007
gene500	4954
gene501	696
gene502	2167
gene503	1387
gene504	3140
gene505	2283
gene506	3262
gene507	2731
gene508	2231
gene509	2406
gene510	285
gene511	995
gene512	1292
gene513	94
gene514	1521
gene515	1381
gene516	1527
gene517	2242
gene518	1786
gene519	3189
gene520	2292
gene521	1744
gene522	2253
gene523	4577
gene524	3984
gene525	7072
gene526	4254
gene527	2379
gene528	1306
gene529	1723
gene530	1035
gene531	1987
gene532	1131
gene533	998
gene534	4703
gene535	1246
gene536	2898
gene537	762
gene538	2248
gene539	1857
gene540	3718
gene541	4613
gene542	1654
gene543	2924
gene544	1171
gene545	951
gene546	1688
gene547	3662
gene548	4048
gene549	1042
gene550	3748
gene551	2752
gene552	2866
gene553	745
gene554	3941
gene555	1443
gene556	2360
gene557	3988
gene558	843
gene559	546
gene560	333
gene561	1068
gene562	1053
gene563	3118
gene564	531
gene565	4004
gene566	1612
gene567	1197
gene568	2243
gene569	1035
gene570	1748
gene571	2183
gene572	674
gene573	71
gene574	1160
gene575	438
gene576	3065
gene577	1419
gene578	1632
gene579	1646
gene580	1631
gene581	4266
gene582	2915
gene583	999
gene584	1593
gene585	2381
gene586	1959
gene587	1296
gene588	1010
gene589	2031
gene590	1158
gene591	393
gene592	92
gene593	621
gene594	2003
gene595	92
gene596	1667
gene597	871
gene598	3149
gene599	4687
gene600	810
gene601	930
gene602	2196
gene603	90
gene604	3017
gene605	783
gene606	2607
gene607	1624
gene608	2228
gene609	234
gene610	2615
gene611	1712
gene612	2710
gene613	2606
gene614	640
gene615	1489
gene616	1848
gene617	666
gene618	4321
gene619	1993
gene620	1954
gene621	89
gene622	7838
gene623	2048
gene624	1445
gene625	2886
gene626	2893
gene627	660
gene628	2627
gene629	1455
gene630	2191
gene631	585
gene632	1558
gene633	1227
gene634	1894
gene635	72
gene636	1498
gene637	1869
gene638	1434
gene639	8139
gene640	2235
gene641	3535
gene642	3406
gene643	3638
gene644	1305
gene645	2097
gene646	462
gene647	2489
gene648	86
gene649	822
gene650	1492
gene651	4207
gene652	1035
gene653	1053
gene654	1467
gene655	6191
gene656	2899
gene657	2929
gene658	1401
gene659	2449
gene660	555
gene661	3315
gene662	1077
gene663	876
gene664	318
gene665	531
gene666	921
gene667	2578
gene668	1452
gene669	1803
gene670	2092
gene671	1645
gene672	5932
gene673	3783
gene674	2067
gene675	526
gene676	2219
gene677	1673
gene678	937
gene679	743
gene680	3372
gene681	1775
gene682	1606
gene683	2128
gene684	1602
gene685	1978
gene686	924
gene687	3884
gene688	1757
gene689	2648
gene690	3539
gene691	1726
gene692	2290
gene693	3620
gene694	1525
gene695	5463
gene696	1519
gene697	2651
gene698	1486
gene699	1711
gene700	1884
gene701	3863
gene702	74
gene703	1022
gene704	2721
gene705	1667
gene706	5610
gene707	4033
gene708	1333
gene709	1765
gene710	4407
gene711	2909
gene712	1136
gene713	1597
gene714	2072
gene715	1425
gene716	1667
gene717	2094
gene718	1871
gene719	4371
gene720	1785
gene721	1398
gene722	2691
gene723	3191
gene724	1322
gene725	2653
gene726	3690
gene727	2485
gene728	327
gene729	543
gene730	4297
gene731	1693
gene732	5540
gene733	1306
gene734	2406
gene735	3349
gene736	4321
gene737	2023
gene738	3249
gene739	3352
gene740	1611
gene741	1224
gene742	2578
gene743	3842
gene744	2618
gene745	4183
gene746	96
gene747	953
gene748	4006
gene749	1077
gene750	1152
gene751	1743
gene752	1111
gene753	1627
gene754	2197
gene755	1843
gene756	648
gene757	1545
gene758	3674
gene759	1161
gene760	4037
gene761	393
gene762	1479
gene763	4195
gene764	1680
gene765	2777
gene766	4123
gene767	3236
gene768	973
gene769	2508
gene770	2599
gene771	3516
gene772	2962
gene773	2643
gene774	2652
gene775	3511
gene776	528
gene777	2205
gene778	2485
gene779	3882
gene780	5045
gene781	1828
gene782	4268
gene783	2640
gene784	2871
gene785	1706
gene786	4347
gene787	1686
gene788	1784
gene789	2379
gene790	1646
gene791	3798
gene792	1342
gene793	749
gene794	2142
gene795	841
gene796	2139
gene797	704
gene798	643
gene799	3803
gene800	3883
gene801	363
gene802	1573
gene803	2169
gene804	2069
gene805	1578
gene806	1606
gene807	1427
gene808	1824
gene809	4187
gene810	3062
gene811	1483
gene812	1513
gene813	1314
gene814	1934
gene815	2147
gene816	2334
gene817	2559
gene818	2634
gene819	3232
gene820	728
gene821	2398
gene822	5468
gene823	3502
gene824	2944
gene825	744
gene826	396
gene827	624
gene828	1185
gene829	2771
gene830	1516
gene831	3352
gene832	5391
gene833	1701
gene834	2212
gene835	2722
gene836	71
gene837	1273
gene838	1133
gene839	3152
gene840	3201
gene841	7489
gene842	1762
gene843	1540
gene844	2330
gene845	5155
gene846	2677
gene847	1680
gene848	1783
gene849	1747
gene850	2443
gene851	3851
gene852	4066
gene853	1686
gene854	303
gene855	3654
gene856	1399
gene857	2762
gene858	1931
gene859	1219
gene860	2154
gene861	1614
gene862	1391
gene863	1509
gene864	1185
gene865	2748
gene866	1962
gene867	1140
gene868	2148
gene869	2273
gene870	2464
gene871	2391
gene872	4539
gene873	1031
gene874	4767
gene875	465
gene876	1471
gene877	2481
gene878	644
gene879	3711
gene880	3838
gene881	3656
gene882	1859
gene883	3073
gene884	1980
gene885	2910
gene886	1574
gene887	2669
gene888	1216
gene889	2521
gene890	1005
gene891	1765
gene892	1652
gene893	2084
gene894	2822
gene895	948
gene896	1551
gene897	4431
gene898	2058
gene899	1564
gene900	3127
gene901	2124
gene902	651
gene903	4431
gene904	1912
gene905	2357
gene906	5066
gene907	4447
gene908	4183
gene909	2055
gene910	3877
gene911	1973
gene912	2410
gene913	1905
gene914	2104
gene915	884
gene916	2464
gene917	1833
gene918	7395
gene919	3549
gene920	1845
gene921	1201
gene922	2884
gene923	1840
gene924	1486
gene925	2381
gene926	2441
gene927	1184
gene928	1406
gene929	2978
gene930	2048
gene931	1508
gene932	4616
gene933	2319
gene934	896
gene935	1533
gene936	4434
gene937	2954
gene938	7032
gene939	1611
gene940	1096
gene941	2537
gene942	1514
gene943	745
gene944	1920
gene945	3423
gene946	2142
gene947	4104
gene948	4952
gene949	1405
gene950	1510
gene951	1969
gene952	2619
gene953	922
gene954	1617
gene955	4452
gene956	2673
gene957	303
gene958	1866
gene959	3623
gene960	1702
gene961	1143
gene962	2030
gene963	4754
gene964	2911
gene965	2021
gene966	2835
gene967	1153
gene968	1688
gene969	3068
gene970	2471
gene971	1433
gene972	5368
gene973	3704
gene974	863
gene975	2724
gene976	1752
gene977	3803
gene978	1285
gene979	636
gene980	3539
gene981	444
gene982	2209
gene983	1812
gene984	1833
gene985	1278
gene986	2327
gene987	4686
gene988	2149
gene989	636
gene990	3320
gene991	1029
gene992	3073
gene993	912
gene994	1064
gene995	1884
gene996	1773
gene997	3951
gene998	315
gene999	2368
gene1000	4045
gene1001	4594
gene1002	375
gene1003	1470
gene1004	4395
gene1005	2944
gene1006	1929
gene1007	3156
gene1008	4042
gene1009	3002
gene1010	4349
gene1011	3124
gene1012	1731
gene1013	3289
gene1014	1923
gene1015	2171
gene1016	3450
gene1017	1495
gene1018	2270
gene1019	4272
gene1020	1266
gene1021	3181
gene1022	357
gene1023	978
gene1024	1437
gene1025	4336
gene1026	2976
gene1027	6182
gene1028	2804
gene1029	3560
gene1030	2671
gene1031	3762
